"","predictionData","data_test.class","SVM_LABEL","SVM_PROB"
"1","simplistic , silly and tedious . ","neg","neg",0.898782553469261
"2","it's so laddish and juvenile , only teenage boys could possibly find it funny . ","neg","pos",0.723103731721223
"3","exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ","neg","neg",0.89504197769827
"4","[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . ","neg","neg",0.72470499376592
"5","a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . ","neg","neg",0.685702179630973
"6","the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . ","neg","pos",0.613352475359574
"7","about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . ","neg","neg",0.540953550383017
"8","not so much farcical as sour . ","neg","neg",0.727958287927211
"9","unfortunately the story and the actors are served with a hack script . ","neg","neg",0.841175834189413
"10","all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . ","neg","neg",0.804699564643325
"11","a sentimental mess that never rings true . ","neg","neg",0.68428532623224
"12","while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ","neg","neg",0.704380925024601
"13","interesting , but not compelling . ","neg","pos",0.585263909398293
"14","on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire . ","neg","neg",0.927269285764034
"15","while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . ","neg","neg",0.886866134493329
"16","there is a difference between movies with the courage to go over the top and movies that don't care about being stupid","neg","neg",0.770046037416118
"17","nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah . ","neg","neg",0.783019432934974
"18","such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us  the skulls  and last year's  rollerball .  enough said , except : film overboard ! ","neg","neg",0.802315863822349
"19","here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . ","neg","neg",0.857252008408057
"20","this 100-minute movie only has about 25 minutes of decent material . ","neg","neg",0.763882887574245
"21","the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . ","neg","neg",0.702986544485752
"22","on its own , it's not very interesting . as a remake , it's a pale imitation . ","neg","neg",0.651858946185246
"23","it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . ","neg","neg",0.79102477005076
"24","a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . ","neg","neg",0.894233899220721
"25","as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ","neg","pos",0.617199176762722
"26","the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . ","neg","neg",0.610775033097439
"27","our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . '","neg","pos",0.80707157628217
"28","the criticism never rises above easy , cynical potshots at morally bankrupt characters . . . ","neg","neg",0.963239934018227
"29","the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . ","neg","neg",0.911933521273539
"30","stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's  waking up in reno .  go back to sleep . ","neg","neg",0.813013825144069
"31","somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates . ","neg","neg",0.854757648307077
"32","the action clichés just pile up . ","neg","neg",0.718988774159151
"33","payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . ","neg","pos",0.685571406213349
"34","the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . ","neg","neg",0.794465041909743
"35","another useless recycling of a brutal mid-'70s american sports movie . ","neg","pos",0.61230499398733
"36","i didn't laugh . i didn't smile . i survived . ","neg","neg",0.636744974366047
"37","please , someone , stop eric schaeffer before he makes another film . ","neg","pos",0.510411243528398
"38","most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved","neg","neg",0.617788901475901
"39"," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . ","neg","neg",0.508879540905744
"40","curling may be a unique sport but men with brooms is distinctly ordinary . ","neg","neg",0.65998332472176
"41","though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set . ","neg","neg",0.85005686189042
"42","there's no getting around the fact that this is revenge of the nerds revisited -- again . ","neg","pos",0.713840281595663
"43","the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable . ","neg","pos",0.845186727406932
"44","analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . ","neg","neg",0.584820255536607
"45","with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins . ","neg","neg",0.969339101792848
"46","stinks from start to finish , like a wet burlap sack of gloom . ","neg","neg",0.821952862008406
"47","to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . ","neg","neg",0.649624638655704
