"","predictionData","data_test.class","SVM_LABEL","SVM_PROB"
"1","simplistic , silly and tedious . ","neg","neg",0.8998320771578
"2","it's so laddish and juvenile , only teenage boys could possibly find it funny . ","neg","pos",0.725032424214541
"3","exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable . ","neg","neg",0.896100352705768
"4","[garbus] discards the potential for pathological study , exhuming instead , the skewed melodrama of the circumstantial situation . ","neg","neg",0.725377658911035
"5","a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification . ","neg","neg",0.686155666450889
"6","the story is also as unoriginal as they come , already having been recycled more times than i'd care to count . ","neg","pos",0.614909989291266
"7","about the only thing to give the movie points for is bravado -- to take an entirely stale concept and push it through the audience's meat grinder one more time . ","neg","neg",0.540443826104534
"8","not so much farcical as sour . ","neg","neg",0.728647848317102
"9","unfortunately the story and the actors are served with a hack script . ","neg","neg",0.84225475285119
"10","all the more disquieting for its relatively gore-free allusions to the serial murders , but it falls down in its attempts to humanize its subject . ","neg","neg",0.805703655982078
"11","a sentimental mess that never rings true . ","neg","neg",0.68473033902657
"12","while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ","neg","neg",0.704942967685336
"13","interesting , but not compelling . ","neg","pos",0.586623881729669
"14","on a cutting room floor somewhere lies . . . footage that might have made no such thing a trenchant , ironic cultural satire instead of a frustrating misfire . ","neg","neg",0.928210119247409
"15","while the ensemble player who gained notice in guy ritchie's lock , stock and two smoking barrels and snatch has the bod , he's unlikely to become a household name on the basis of his first starring vehicle . ","neg","neg",0.887940042937759
"16","there is a difference between movies with the courage to go over the top and movies that don't care about being stupid","neg","neg",0.770930276234565
"17","nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro's right-hand goombah . ","neg","neg",0.783953383068902
"18","such master screenwriting comes courtesy of john pogue , the yale grad who previously gave us  the skulls  and last year's  rollerball .  enough said , except : film overboard ! ","neg","neg",0.803313095809191
"19","here , common sense flies out the window , along with the hail of bullets , none of which ever seem to hit sascha . ","neg","neg",0.85834339276738
"20","this 100-minute movie only has about 25 minutes of decent material . ","neg","neg",0.764741665258314
"21","the execution is so pedestrian that the most positive comment we can make is that rob schneider actually turns in a pretty convincing performance as a prissy teenage girl . ","neg","neg",0.703540697586742
"22","on its own , it's not very interesting . as a remake , it's a pale imitation . ","neg","neg",0.652105305523679
"23","it shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there's a little girl-on-girl action . ","neg","neg",0.791986596288865
"24","a farce of a parody of a comedy of a premise , it isn't a comparison to reality so much as it is a commentary about our knowledge of films . ","neg","neg",0.895294039180191
"25","as exciting as all this exoticism might sound to the typical pax viewer , the rest of us will be lulled into a coma . ","neg","pos",0.61878462806576
"26","the party scenes deliver some tawdry kicks . the rest of the film . . . is dudsville . ","neg","neg",0.610752563032885
"27","our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender  and i know this because i've seen 'jackass : the movie . '","neg","pos",0.809065194140804
"28","the criticism never rises above easy , cynical potshots at morally bankrupt characters . . . ","neg","neg",0.963927675057365
"29","the movie's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story . killing time , that's all that's going on here . ","neg","neg",0.912942487991929
"30","stupid , infantile , redundant , sloppy , over-the-top , and amateurish . yep , it's  waking up in reno .  go back to sleep . ","neg","neg",0.814040075009665
"31","somewhere in the middle , the film compels , as demme experiments he harvests a few movie moment gems , but the field of roughage dominates . ","neg","neg",0.855848026501111
"32","the action clichés just pile up . ","neg","neg",0.719631189736947
"33","payami tries to raise some serious issues about iran's electoral process , but the result is a film that's about as subtle as a party political broadcast . ","neg","pos",0.687386571026938
"34","the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this ; i assume the director has pictures of them cavorting in ladies' underwear . ","neg","neg",0.79543815371796
"35","another useless recycling of a brutal mid-'70s american sports movie . ","neg","pos",0.613854938888966
"36","i didn't laugh . i didn't smile . i survived . ","neg","neg",0.636895012163719
"37","please , someone , stop eric schaeffer before he makes another film . ","neg","pos",0.5112728388164
"38","most of the problems with the film don't derive from the screenplay , but rather the mediocre performances by most of the actors involved","neg","neg",0.617813809955854
"39"," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee . ","neg","neg",0.508148173680525
"40","curling may be a unique sport but men with brooms is distinctly ordinary . ","neg","neg",0.660280117886013
"41","though the opera itself takes place mostly indoors , jacquot seems unsure of how to evoke any sort of naturalism on the set . ","neg","neg",0.851144396529063
"42","there's no getting around the fact that this is revenge of the nerds revisited -- again . ","neg","pos",0.7157451246362
"43","the effort is sincere and the results are honest , but the film is so bleak that it's hardly watchable . ","neg","pos",0.847095953269241
"44","analyze that regurgitates and waters down many of the previous film's successes , with a few new swings thrown in . ","neg","neg",0.584618650648447
"45","with flashbulb editing as cover for the absence of narrative continuity , undisputed is nearly incoherent , an excuse to get to the closing bout . . . by which time it's impossible to care who wins . ","neg","neg",0.969951661197193
"46","stinks from start to finish , like a wet burlap sack of gloom . ","neg","neg",0.82299972790317
"47","to the civilized mind , a movie like ballistic : ecks vs . sever is more of an ordeal than an amusement . ","neg","neg",0.649856962141787
"48","equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 . ","neg","pos",0.563555267629869
"49","the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ","neg","neg",0.997279166831096
"50","  austin powers in goldmember  has the right stuff for silly summer entertainment and has enough laughs to sustain interest to the end . ","pos","pos",0.51188651747069
"51","one of [jaglom's] better efforts -- a wry and sometime bitter movie about love . ","pos","neg",0.551453342353659
"52","schaeffer isn't in this film , which may be why it works as well as it does . ","pos","pos",0.54460109052548
"53","a fresh , entertaining comedy that looks at relationships minus traditional gender roles . ","pos","pos",0.88675736633398
